customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit
328,TekniCollectablesInc.,Brown,William,2015559350,7476MossRd.,NULL,Newark,NJ,94019,USA,1323,43000
333,AustralianGiftNetworkCo,Calaghan,Ben,61-7-3844-6555,31DuncanSt.WestEnd,NULL,SouthBrisbane,Queensland,4101,Australia,1611,51600
334,SuominenSouveniers,Suominen,Kalle,35898045555,SoftwareEngineeringCenter,SECOy,Espoo,NULL,FIN-02271,Finland,1501,98800
335,CramerSpezialitätenLtd,Cramer,Philip,0555-09555,Maubelstr.90,NULL,Brandenburg,NULL,14776,Germany,NULL,0
339,ClassicGiftIdeasInc,Cervantes,Francisca,2155554695,782FirstStreet,NULL,Philadelphia,PA,71270,USA,1188,81100
344,CAFImports,Fernandez,Jesus,34913728555,MerchantsHouse,27-30Merchant\sQuay,Madrid,NULL,28023,Spain,1702,59600
347,Men\R\USRetailersLtd.,Chandler,Brian,2155554369,6047DouglasAv.,NULL,LosAngeles,CA,91003,USA,1166,57700
348,AsianTreasuresInc.,McKenna,Patricia,2967555,8JohnstownRoad,NULL,Cork,Co.Cork,NULL,Ireland,NULL,0
350,MarseilleMiniAutos,Lebihan,Laurence,91.24.455512,ruedesBouchers,NULL,Marseille,NULL,13008,France,1337,65000
353,ReimsCollectables,Henriot,Paul,26.47.1555,59ruedel\Abbaye,NULL,Reims,NULL,51100,France,1337,81100
356,SARDistributorsCo,Kuger,Armand,27215503555,1250PretoriusStreet,NULL,Hatfield,Pretoria,28,SouthAfrica,NULL,0
357,GiftsForHim.com,MacKinlay,Wales,64-9-3763555,199GreatNorthRoad,NULL,Auckland,NULL,NULL,NewZealand,1612,77700
361,KommissionAuto,Josephs,Karin,0251-555259,Luisenstr.48,NULL,Münster,NULL,44087,Germany,NULL,0
362,Gifts4AllAges.com,Yoshido,Juri,6175559555,8616SpinnakerDr.,NULL,Boston,MA,51003,USA,1216,41900
363,OnlineDiecastCreationsCo.,Young,Dorothy,6035558647,2304LongAirportAvenue,NULL,Nashua,NH,62005,USA,1216,114200
369,LisboaSouveniersInc,Rodriguez,Lino,(1)354-2555,Jardimdasrosasn.32,NULL,Lisboa,NULL,1675,Portugal,NULL,0
376,PreciousCollectables,Urs,Braun,0452-076555,Hauptstr.29,NULL,Bern,NULL,3012,Switzerland,1702,0
379,CollectablesForLessInc.,Nelson,Allen,6175558555,7825DouglasAv.,NULL,Brickhaven,MA,58339,USA,1188,70700
381,RoyaleBelge,Cartrain,Pascale,(071)23672555,BoulevardTirou255,NULL,Charleroi,NULL,B-6000,Belgium,1401,23500
382,SalzburgCollectables,Pipps,Georg,6562-9555,Geislweg14,NULL,Salzburg,NULL,5020,Austria,1401,71700
385,Cruz&SonsCo.,Cruz,Arnold,6325553587,15McCallumStreet,NatWestCenter#13-03,MakatiCity,NULL,1227MM,Philippines,1621,81500
386,L\ordineSouveniers,Moroni,Maurizio,0522-556555,StradaProvinciale124,NULL,ReggioEmilia,NULL,42100,Italy,1401,121400
398,TokyoCollectablesLtd,Shimamura,Akiko,81335840555,2-2-8Roppongi,NULL,Minato-ku,Tokyo,106-0032,Japan,1621,94400
406,AutoCanal+Petit,Perrier,Dominique,(1)4755655525,rueLauriston,NULL,Paris,NULL,75016,France,1337,95000
409,StuttgartCollectableExchange,Müller,Rita,0711-555361,Adenauerallee900,NULL,Stuttgart,NULL,70563,Germany,NULL,0
412,ExtremeDeskDecorationsLtd,McRoy,Sarah,44999555,101LambtonQuay,Level11,Wellington,NULL,NULL,NewZealand,1612,86800
415,BavarianCollectablesImportsCo.,Donnermeyer,Michael,4.98961E+11,Hansastr.15,NULL,Munich,NULL,80686,Germany,1504,77000
424,ClassicLegendsInc.,Hernandez,Maria,2125558493,5905PomptonSt.,Suite750,NYC,NY,10022,USA,1286,67500
443,FeuerOnlineStoresInc,Feuer,Alexander,0342-555176,Heerstr.22,NULL,Leipzig,NULL,4179,Germany,NULL,0
447,GiftIdeasCorp.,Lewis,Dan,2035554407,2440PomptonSt.,NULL,Glendale,CT,97561,USA,1323,49700
448,ScandinavianGiftIdeas,Larsson,Martha,0695-346555,Åkergatan24,NULL,Bräcke,NULL,S-84467,Sweden,1504,116400
450,TheSharpGiftsWarehouse,Frick,Sue,4085553659,3086IngleLn.,NULL,SanJose,CA,94217,USA,1165,77600
452,MiniAutoWerke,Mendel,Roland,7675-3555,Kirchgasse6,NULL,Graz,NULL,8010,Austria,1401,45300
455,SuperScaleInc.,Murphy,Leslie,2035559545,567NorthPendaleStreet,NULL,NewHaven,CT,97823,USA,1286,95400
456,MicroscaleInc.,Choi,Yu,2125551957,5290NorthPendaleStreet,Suite200,NYC,NY,10022,USA,1286,39800
458,CorridaAutoReplicasLtd,Sommer,Martín,(91)5552282,C/Araquil67,NULL,Madrid,NULL,28023,Spain,1702,104600
459,WarburgExchange,Ottlieb,Sven,0241-039123,Walserweg21,NULL,Aachen,NULL,52066,Germany,NULL,0
462,FunGiftIdeas.com,Benitez,Violeta,5085552555,1785FirstStreet,NULL,NewBedford,MA,50553,USA,1216,85800
465,AntonDesignsLtd.,Anton,Carmen,34913728555,c/Gobelas19-1Urb.LaFlorida,NULL,Madrid,NULL,28023,Spain,NULL,0
471,AustralianCollectablesLtd,Clenahan,Sean,61-9-3844-6555,7AllenStreet,NULL,GlenWaverly,Victoria,3150,Australia,1611,60300
473,FraudaCollezione,Ricotti,Franco,39022515555,20093ColognoMonzese,AlessandroVolta16,Milan,NULL,NULL,Italy,1401,34800
475,WestCoastCollectablesCo.,Thompson,Steve,3105553722,3675FurthCircle,NULL,Burbank,CA,94019,USA,1166,55400
477,MitVergnügen&Co.,Moos,Hanna,0621-08555,Forsterstr.57,NULL,Mannheim,NULL,68306,Germany,NULL,0
480,KremlinCollectablesCo.,Semenov,Alexander,78122930521,2PobedySquare,NULL,SaintPetersburg,NULL,196143,Russia,NULL,0
481,RaananStoresInc,AltagarGM,Raanan,97299598555,3HagalimBlv.,NULL,Herzlia,NULL,47625,Israel,NULL,0
484,IberiaGiftImportsCorp.,Roel,JoséPedro,(95)5558282,C/Romero33,NULL,Sevilla,NULL,41101,Spain,1702,65700
486,MotorMintDistributorsInc.,Salazar,Rosa,2155559857,11328DouglasAv.,NULL,Philadelphia,PA,71270,USA,1323,72600
487,SignalCollectiblesLtd.,Taylor,Sue,4155554312,2793FurthCircle,NULL,Brisbane,CA,94217,USA,1165,60300
489,DoubleDeckerGiftStoresLtd,Smith,Thomas,(171)555-7555,120HanoverSq.,NULL,London,NULL,WA11DP,UK,1501,43300
495,DiecastCollectables,Franco,Valarie,6175552555,6251IngleLn.,NULL,Boston,MA,51003,USA,1188,85100
496,Kelly\sGiftShop,Snowden,Tony,6495555500,Arenales19383\A\,NULL,Auckland,NULL,NULL,NewZealand,1612,110000
